Currency units per SDR for March 2017 Continued;
;
Currency;March 31, 2017
Chinese yuan;9.350080
Euro;1.269150
Japanese yen;152.035000
U.K. pound;1.089620
U.S. dollar;1.356850
Algerian dinar;149.337000
Australian dollar;1.775050
Bahrain dinar;0.510175
Botswana pula;14.222700
Brazilian real;4.238920
Brunei dollar;1.896600
Canadian dollar;1.805960
Chilean peso;899.127000
Colombian peso;3,908.050000
Czech koruna;34.303800
Danish krone;9.439840
Hungarian forint;391.641000
Icelandic krona;153.460000
Indian rupee;87.976300
Indonesian rupiah;18,074.600000
Iranian rial;NA
Israeli New Shekel;4.928070
Kazakhstani tenge;425.684000
Korean won;1,514.380000
Kuwaiti dinar;0.413500
Libyan dinar;1.932400
Malaysian ringgit;6.006080
Mauritian rupee;47.897500
Mexican peso;25.502700
Nepalese rupee;140.949000
New Zealand dollar;1.940850
Norwegian krone;11.635900
Omani rial;0.521708
Pakistani rupee;142.272000
Peruvian sol;4.404340
Philippine peso;68.105500
Polish zloty;5.353430
Qatari riyal;4.938930
Russian ruble;75.930100
Saudi Arabian riyal;5.088180
Singapore dollar;1.896600
South African rand;18.010200
Sri Lankan rupee;205.882000
Swedish krona;12.121300
Swiss franc;1.358200
Thai baht;46.743400
Trinidadian dollar;NA
Tunisian dinar;3.139070
U.A.E. dirham;4.983030
Uruguayan peso;38.701300
Bolivar Soberano;NA
;
Notes:;
;
;
The value of the U.S. dollar in terms of the SDR is the reciprocal of the sum of the dollar values, based on market exchange rates, of specified quantities of the SDR basket currencies. See SDR Valuation.;
;
These rates are the official rates used by the Fund to conduct operations with member countries. The rates are derived from the currency's representative exchange rate, as reported by the central bank, normally against the U.S. dollar at spot market rates and rounded to six significant digits. See Representative Exchange Rates for Selected Currencies.;
;
The value in terms of each national currency of the SDR (shown above) is the reciprocal of the value in terms of the SDR of each national currency, rounded to six significant digits.;
;
Exchange rates are published daily except on IMF holidays or whenever the IMF is closed for business.;
